BT_CZASY_PIERWSZA_PIERWSZA,301800,285000,180600,287600,750800,894800,228600,1192000,223800,1391000,
BT_CZASY_PIERWSZA_NW,874000,1118100,536900,917600,2727000,3926000,1693600,91990600,805400,44287500,
BT_CZASY_NO_PIERWSZA,179300,181500,154400,214400,217500,391000,149700,99300,73300,103900,
BT_CZASY_NO_NW,768900,4887300,533600,715700,932900,482900,750000,406800,259300,371700,
FC_CZASY_PIERWSZA_PIERWSZA,277800,335600,738800,524300,3953600,1246700,668300,3823400,770300,3126300,
FC_CZASY_PIERWSZA_NW,1223600,1362500,900500,1992100,5644100,4612400,2441500,56289700,5982400,16802500,
FC_CZASY_NO_PIERWSZA,256500,346600,372600,545300,857000,468100,12220500,474700,302100,375100,
FC_CZASY_NO_NW,1058700,1387200,757300,1495200,2397200,1965600,2545300,2468400,1302500,1639400,
